"Instructions: for each of the following Facebook image files (column A), complete the following questions using the provided annotation scheme.   ","Check the box corresponding to each question for a 'Yes' response, and leave the box unchecked for a 'No' response.",,,,
facebook_dataset_houses_Peter DeFazio_time1_25.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter DeFazio_mobile2_29.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_mobile1_2.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_time1_177.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_time1_196.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_time1_190.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_time1_38.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_time1_115.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Joffrion_time1_166.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_time1_71.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_time1_80.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_time1_70.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_time1_79.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_time1_62.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_time1_110.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Peter Welch_mobile1_3.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_time1_1108.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_time1_927.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_time1_1070.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_mobile1_812.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_mobile1_594.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_mobile1_609.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Philip Murphy_time1_803.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_mobile2_46.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_time2_67.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_time1_138.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_time1_85.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_time1_117.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_time1_78.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Pramila Jayapal_time2_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time1_296.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time1_192.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time1_277.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time1_310.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time1_316.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time2_32.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raja Krishnamoorthi_time1_387.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Ralph Northam_mobile1_4.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_185.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_233.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_238.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_234.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Randy Bryce _time1_259.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_time1_72.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_mobile1_92.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_mobile1_106.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_time1_20.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_time1_61.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_time1_8.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rashida Tlaib_time1_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_time2_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_time2_20.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_time2_43.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_time1_166.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_mobile2_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_time2_51.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Grijalva_time1_139.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_mobile1_86.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_time2_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_time1_191.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_time1_179.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_time1_381.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_time1_342.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Raul Ruiz_time2_11.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_time1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_time1_65.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_time1_48.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_mobile1_435.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_mobile1_59.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_mobile1_205.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoagenson_mobile1_67.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_mobile1_110.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_time1_88.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_time1_39.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_mobile1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_time1_12.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_mobile1_92.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Renee Hoyos_time1_54.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_91.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_121.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_127.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_101.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_98.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Richard Cordray_time1_54.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_time1_65.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_time1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_mobile1_8.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_time1_39.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_time1_72.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_time1_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Richard Durbin_time1_55.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time2_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time1_126.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time2_12.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time1_170.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time1_169.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Neal_time2_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_time1_88.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_time1_83.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_mobile1_589.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_time1_159.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_time1_258.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_time1_260.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Richard Ojeda_time1_71.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_time1_66.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_time1_75.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_mobile1_83.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_time1_50.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_time1_83.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_time1_57.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Kennedy_time1_80.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_mobile2_28.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_time2_289.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_time2_202.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_time2_362.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_time2_125.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_time2_293.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Larsen_time2_294.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _mobile1_70.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _time1_74.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _time1_89.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _mobile1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _time1_45.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _time1_34.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rick Neal _time1_83.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_644.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_718.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_998.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_1100.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_982.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_1178.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ro Khanna_time1_630.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_167.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_242.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_47.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_222.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_246.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_256.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Casey_time2_82.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._mobile1_75.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._mobile1_95.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._mobile1_124.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._time1_8.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._mobile1_74.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._mobile1_96.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robert Kennedy Jr._mobile1_317.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_time2_378.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_time2_79.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_time2_380.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_time1_246.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_time2_134.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_mobile1_45.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Robert Menendez_time1_297.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time1_476.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time2_95.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time2_99.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time2_112.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time1_459.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time2_116.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Robin Kelly_time2_105.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_mobile1_55.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_time1_23.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_time1_118.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_time1_28.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_time1_27.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_mobile1_218.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron DiNicola_time1_140.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _mobile1_28.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _time1_190.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _time1_211.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _time1_132.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _time1_176.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _mobile1_27.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ron Kind _mobile1_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_25.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_38.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_94.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_57.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_19.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Ron Wyden_time1_80.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_mobile1_260.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_mobile1_170.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_mobile1_168.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_time1_21.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_mobile1_230.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_time1_19.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Rose DeLauro_mobile1_171.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_mobile2_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_time2_266.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_time2_223.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_time2_179.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_time2_201.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_time2_192.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Roy Cooper_time2_253.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_mobile1_307.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_mobile1_281.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_mobile1_283.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_time2_2.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_mobile1_271.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_mobile1_282.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Gallego_time1_73.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ruben Kihuen_mobile1_13.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_time1_74.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_time1_64.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_mobile1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_time1_45.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_time1_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_time1_33.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ryan Trundle_time1_75.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_time1_279.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_mobile2_10.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_time1_251.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_time1_223.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_time1_274.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_time2_1.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Salud Carbajal_time1_159.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_time2_21.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_time1_63.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_time1_74.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_time1_116.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_mobile1_37.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sanford Bishop_time1_95.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_time1_109.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_time1_1.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_time1_54.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_time1_43.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_time1_104.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_time1_100.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sara Dady_mobile1_47.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time1_283.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time2_39.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time2_66.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time1_205.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time2_104.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time1_232.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Peters_time2_21.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_time1_93.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_time1_95.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_time1_96.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_mobile1_231.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_time1_32.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_mobile1_211.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Scott Wallace_mobile1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_597.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_120.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_317.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_546.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_261.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_350.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Casten_time1_460.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Patrick Maloney _time1_276.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Patrick Maloney _time1_418.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Sean Patrick Maloney _time1_261.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
